name,likes,shares,reach,likes&shares
Zoe,193,17,3197,210
Zoe,274,14,3250,288
Zoe,186,19,2954,205
Zoe,158,5,2835,163
Zoe,199,27,2863,226
Zoe,287,50,3381,337
Zoe,,,3381,1429
,,,,
Wang,161,4,2753,165
Wang,152,5,2441,157
Wang,130,5,2531,135
Wang,203,10,3154,213
Wang,140,6,2623,146
Wang,181,3,2521,184
Wang,,,3154,1000
,,,,
Justin,122,20,2401,142
Justin,198,17,2908,215
Justin,214,14,3412,228
Justin,325,33,3527,358
Justin,212,12,2993,224
Justin,188,5,2904,193
Justin,,,3527,1360
,,,,
Julia,209,19,3549,228
Julia,242,28,4560,270
Julia,263,12,3010,275
Julia,370,66,4061,436
Julia,398,65,3840,463
Julia,194,26,3560,220
Julia,,,4560,1892
,,,,
Chang,231,44,3418,275
Chang,131,14,2341,145
Chang,153,12,2896,165
Chang,,,3418,585
,,,,
